Accessibility Namespace	Represents a managed wrapper for the Component Object Model (COM) accessibility interface.
System.Windows.Media.Effects Namespace	Provides types that can be used to apply visual effects to bitmap images.
System.Windows.Media.Imaging Namespace	Provides types that are used to encode and decode bitmap images.
System.Windows.Media.Media3D Namespace	Contains types that support 3-D presentation in Windows Presentation Foundation (WPF) applications.
System.Windows.Media.Media3D.Converters Namespace	Contains classes that are used by the MarkupWriter for serialization of Extensible Application Markup Language (XAML).
System.Windows.Media.TextFormatting Namespace	Provides types that control formatting of text, typically at a lower level than control-based text presentation or the text object model.
System.Windows.Navigation Namespace	Provides types that support navigation, including navigating between windows and navigation journaling.
System.Windows.Resources Namespace	Provides low-level classes that support the Windows Presentation Foundation (WPF) resource model and the Resources build action.
System.Windows.Shapes Namespace	Provides access to a library of shapes that can be used in Extensible Application Markup Language (XAML) or code.
System.Windows.Shell Namespace	Contains types that provide managed code access to the enhanced functionality of the Windows 7 taskbar.
System.Windows.Threading Namespace	Contains types to support the Windows Presentation Foundation (WPF) threading system.
System.Windows.Xps Namespace	Provides classes that write XPS documents to a data store or print queue.
System.Windows.Xps.Packaging Namespace	Provides types that allow applications to read and write the components of an XPS document.
System.Windows.Xps.Serialization Namespace	Provides types that support serialization of XPS documents.
System.Workflow.Activities Namespace	Provides classes related to Windows Workflow Foundation activities.
System.Workflow.Activities.Configuration Namespace	Provides classes that represent sections of the configuration file.
System.Workflow.Activities.Rules Namespace	Contains a set of classes that define the conditions and actions that form a rule.
System.Workflow.Activities.Rules.Design Namespace	Contains a set of classes that manage the Rule Set Editor and the Rule Condition Editor dialog boxes.
System.Workflow.ComponentModel Namespace	Provides classes related to the Windows Workflow Foundation component model.
System.Workflow.ComponentModel.Compiler Namespace	Provides classes related to the Windows Workflow Foundation component model compiler.
System.Workflow.ComponentModel.Design Namespace	Provides classes related to the Windows Workflow Foundation component model designers.
System.Workflow.ComponentModel.Serialization Namespace	Provides the infrastructure for managing the serialization of activities and workflows to and from extensible Application Markup Language (XAML) and CodeDOM.
System.Workflow.Runtime Namespace	Provides classes related to workflow runtime.
System.Workflow.Runtime.Configuration Namespace	Contains classes that are used to configure the workflow runtime engine.
System.Workflow.Runtime.DebugEngine Namespace	Contains classes and interfaces for use in debugging workflow instances.
System.Workflow.Runtime.Hosting Namespace	Provides classes related to Windows Workflow Foundation runtime hosting.
System.Workflow.Runtime.Tracking Namespace	Contains classes and an interface related to tracking services.
System.Xaml Namespace	Provides types that relate to XAML readers and XAML writers. This includes the default implementations of .NET XAML Services and its XAML readers and XAML writers. Also contains types relevant to the XAML type system and other support types related to XAML and .NET XAML Services concepts.
System.Xaml.Permissions Namespace	Contains types that specify permissions for certain XAML loading scenarios, such as loading under partial trust or loading internal types.
System.Xaml.Schema Namespace	Contains types that support extensibility of the XAML type system.
System.Xml Namespace	Provides standards-based support for processing XML.
System.Xml.Linq Namespace	Contains the classes for LINQ to XML. LINQ to XML is an in-memory XML programming interface that enables you to modify XML documents efficiently and easily.
System.Xml.Resolvers Namespace	Provides support for prepopulating the cache with DTDs or XML streams.
System.Xml.Schema Namespace	Contains the XML classes that provide standards-based support for XML schema definition language (XSD) schemas.
System.Xml.Serialization Namespace	Contains classes that are used to serialize objects into XML format documents or streams.
System.Xml.Serialization.Advanced Namespace	Contains classes that allow you to customize the code generated from a Web Services Description Language (WSDL) document.
System.Xml.Serialization.Configuration Namespace	Contains classes used to read the values found in application configuration files under the <system.xml.serialization> Element section.
System.Xml.XPath Namespace	Contains the classes that define a cursor model for navigating and editing XML information items as instances of the XQuery 1.0 and XPath 2.0 Data Model.
System.Xml.XmlConfiguration Namespace	Contains sections of XML configuration.
System.Xml.Xsl Namespace	Provides support for Extensible Stylesheet Transformation (XSLT) transforms. It supports the W3C XSL Transformations (XSLT) Version 1.0 Recommendation.
System.Xml.Xsl.Runtime Namespace	Contains types that are used by the XSL transformation engine.
UIAutomationClientsideProviders Namespace	Contains a single type that maps client automation providers.
XamlGeneratedNamespace Namespace	Contains compiler-generated types that are not intended to be used directly from your code.
